下单时间,推广设备,计划ID,计划名称,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,预售订单行,预售订单金额,直接加购数,间接加购数,总加购数,转化率,ROI,下单新客数,广告访客数,访问页面数,页面平均访问时长,深度进店数,店铺关注数,商品关注数,预约数,领劵数,点赞数,评论数,分享数,关注数,互动数,互动率,观看次数,观看时长,平均观看时长,视频播放时长,视频有效播放量,视频播放次数,视频有效播放率,视频人均观看时长,视频播完数,视频播完率,视频点赞数,视频评论数,视频分享数,视频关注数,视频互动数,互动率,推广模式
20230711,全部,709013120,全店推广计划,4244,158,3.72,309.22,72.86,1.96,0,0,3,3734,3,3734,0,0,20,9,29,1.9,12.08,3,120,422,52.2,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
20230712,全部,709013120,全店推广计划,3759,158,4.2,313.23,83.33,1.98,2,1721,2,1416,4,3137,0,0,15,3,18,2.53,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
20230707,全部,709013120,全店推广计划,3630,115,3.17,186.26,51.31,1.62,0,0,1,778,1,778,0,0,13,2,15,0.87,4.18,1,90,237,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
20230711,全部,1399059520,新品推广计划_20230630_1688130762351,3536,140,3.96,277.48,78.47,1.98,0,0,0,0,0,0,0,0,22,5,27,0,0,0,91,380,40.7,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
20230710,全部,1399059520,新品推广计划_20230630_1688130762351,3328,132,3.97,257.88,77.49,1.95,0,0,0,0,0,0,0,0,7,12,19,0,0,0,83,277,41.1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
20230704,全部,709013120,全店推广计划,3126,41,1.31,63,20.15,1.54,0,0,0,0,0,0,0,0,0,1,1,0,0,0,32,67,49.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
20230710,全部,709013120,全店推广计划,2706,115,4.25,207.85,76.81,1.81,0,0,2,1157,2,1157,0,0,9,14,23,1.74,5.57,2,88,252,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
20230703,全部,709013120,全店推广计划,2588,55,2.13,84.77,32.76,1.54,0,0,0,0,0,0,0,0,2,0,2,0,0,0,42,116,48.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
20230703,全部,1399059520,新品推广计划_20230630_1688130762351,2560,58,2.27,152.99,59.76,2.64,1,1028,0,0,1,1028,0,0,1,1,2,1.72,6.72,0,28,74,49.1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
20230712,全部,1399059520,新品推广计划_20230630_1688130762351,2442,141,5.77,275.82,112.95,1.96,0,0,0,0,0,0,0,0,25,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,普通推广
